":id",":version",":created_at",":updated_at","crash_date","crash_time","borough","zip_code","latitude","longitude","location","on_street_name","off_street_name","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","contributing_factor_vehicle_3","contributing_factor_vehicle_4","contributing_factor_vehicle_5","collision_id","vehicle_type_code1","vehicle_type_code2","vehicle_type_code_3","vehicle_type_code_4","vehicle_type_code_5"
"row-2ymz~dhta-kdgu","rv-ujxi-5876.dpti","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","12:58","BROOKLYN","11235","40.5916000","-73.9606860","( 4 0 . 5 9 1 6 ,   - 7 3 . 9 6 0 6 8 6 )","CONEY ISLAND AVENUE             ","AVENUE X",,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified",,,,"4407302","Pick-up Truck","Sedan",,,
"row-m6ea~q2td_wpcb","rv-bg7s_f4ai_x2rm","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:00","BRONX","10458","40.8571170","-73.8990700","( 4 0 . 8 5 7 1 1 7 ,   - 7 3 . 8 9 9 0 7 )","RYER AVENUE                     ","EAST 183 STREET",,"0","0","0","0","0","0","0","0","Other Vehicular","Unspecified",,,,"4406953","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"row-jwyi.giqm~ht95","rv-mtyx_x6xy.e4e8","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:03","BRONX","10458","40.8556560","-73.8899150","( 4 0 . 8 5 5 6 5 6 ,   - 7 3 . 8 8 9 9 1 5 )",,,"2365      LORILLARD PLACE               ","0","0","0","0","0","0","0","0","Oversized Vehicle","Unspecified",,,,"4406956","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"row-r3en-4v22~3jd4","rv-6f8a~3i62_mz7g","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:10",,,"40.5992550","-73.9894000","( 4 0 . 5 9 9 2 5 5 ,   - 7 3 . 9 8 9 4 )","86 STREET                       ",,,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4407011","Station Wagon/Sport Utility Vehicle",,,,
"row-x3fc~g6s4.g4v2","rv-gnhi-uwbe-sn4b","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:12","QUEENS","11375","40.7193680","-73.8360060","( 4 0 . 7 1 9 3 6 8 ,   - 7 3 . 8 3 6 0 0 6 )","113 STREET                      ","75 AVENUE",,"0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified",,,,"4406959","Box Truck","Station Wagon/Sport Utility Vehicle",,,
"row-jc2u~htcw.4g95","rv-56fu-j6a2~3hhv","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:15","BROOKLYN","11214","40.6046100","-73.9982600","( 4 0 . 6 0 4 6 1 ,   - 7 3 . 9 9 8 2 6 )","20 AVENUE                       ","86 STREET",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407012","Sedan","Station Wagon/Sport Utility Vehicle",,,
"row-2ayu-wxqy_q83b","rv-nen3.xba8-fs5u","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:25","BROOKLYN","11203","40.6521760","-73.9284800","( 4 0 . 6 5 2 1 7 6 ,   - 7 3 . 9 2 8 4 8 )","EAST 52 STREET                  ","CHURCH AVENUE",,"1","0","0","0","0","0","1","0","Unspecified","Unspecified",,,,"4407573","Sedan","Minibike",,,
"row-jg5h_2xrm.rwtg","rv-bisa~ahi5.vu83","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:30","MANHATTAN","10013","40.7180180","-73.9999600","( 4 0 . 7 1 8 0 1 8 ,   - 7 3 . 9 9 9 9 6 )","CANAL STREET                    ","CENTRE STREET",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4406945","Armored Truck",,,,
"row-j5gt~8k5m-6brv","rv-fpjc~auxm_y6rd","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:30","QUEENS","11360","40.7793240","-73.7756040","( 4 0 . 7 7 9 3 2 4 ,   - 7 3 . 7 7 5 6 0 4 )","BELL BOULEVARD                  ","24 AVENUE",,"0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified",,,,"4407173","Station Wagon/Sport Utility Vehicle",,,,
"row-iu46_ymij~jwwe","rv-8jt3-uyp5.chmv","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","13:30",,,"40.7023620","-73.9129100","( 4 0 . 7 0 2 3 6 2 ,   - 7 3 . 9 1 2 9 1 )","MENAHAN STREET                  ",,,"0","0","0","0","0","0","0","0","Backing Unsafely","Unspecified",,,,"4407060","Sedan","Sedan",,,
